type,name,level,address,datatype,accuracy,unit,models,datarange,mask,default,smart_meter
read,phase_a_voltage,1,5019,U16,0.1,V,,,,,
read,phase_b_voltage,2,5020,U16,0.1,V,,,,,
read,phase_c_voltage,2,5021,U16,0.1,V,,,,,
read,phase_a_current,2,5022,"S16"" # Documentation says Unsigned, but seems to be returning Signed 16bit",0.1,A,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG60KU|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|LP_P34KSG|SG50KTL-M-20|SG60KTL|SG80KTL|SG80KTL-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG111HV|SG125HV|SG125HV-20|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG3.0RS|SG4.0RS|SG5.0RS|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT,,,,
read,phase_b_current,2,5023,"S16"" # Documentation says Unsigned, but seems to be returning Signed 16bit",0.1,A,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG60KU|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|LP_P34KSG|SG50KTL-M-20|SG60KTL|SG80KTL|SG80KTL-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG111HV|SG125HV|SG125HV-20|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT,,,,
read,phase_c_current,2,5024,"S16"" # Documentation says Unsigned, but seems to be returning Signed 16bit",0.1,A,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG60KU|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|LP_P34KSG|SG50KTL-M-20|SG60KTL|SG80KTL|SG80KTL-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG111HV|SG125HV|SG125HV-20|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT,,,,
read,total_active_power,0,5031,U32,,W,SG30KTL|SG10KTL|SG12KTL|SG15KTL|SG20KTL|SG30KU|SG36KTL|SG36KU|SG40KTL|SG40KTL-M|SG50KTL-M|SG60KTL-M|SG60KU|SG30KTL-M|SG30KTL-M-V31|SG33KTL-M|SG36KTL-M|SG33K3J|SG49K5J|SG34KJ|LP_P34KSG|SG50KTL-M-20|SG60KTL|SG80KTL|SG80KTL-20|SG60KU-M|SG5KTL-MT|SG6KTL-MT|SG8KTL-M|SG10KTL-M|SG10KTL-MT|SG12KTL-M|SG15KTL-M|SG17KTL-M|SG20KTL-M|SG80KTL-M|SG111HV|SG125HV|SG125HV-20|SG30CX|SG33CX|SG36CX-US|SG40CX|SG50CX|SG60CX-US|SG110CX|SG250HX|SG250HX-US|SG100CX|SG100CX-JP|SG250HX-IN|SG25CX-SA|SG75CX|SG3.0RT|SG4.0RT|SG5.0RT|SG3.0RS|SG4.0RS|SG5.0RS|SG6.0RT|SG7.0RT|SG8.0RT|SG8.0RS|SG10RT|SG12RT|SG15RT|SG17RT|SG20RT|SG3K-D|SG5K-D|SG8K-D,,,,
read,total_reactive_power,2,5033,S32,,Var,,,,,
read,"power_factor""                # >0 means leading, <0 means lagging",2,5035,S16,0.001,,,,,,
read,grid_frequency,2,5036,U16,0.1,Hz,,,,,
